BE (eV)	0 min	1 min	8 min	14 min	17 min	24 min
199.9	758.473	765.555	731.883	680.049	613.235	544.143
199.8	768.06	809.085	806.143	648.256	638.621	513.747
199.7	714.596	790.907	690.463	625.093	633.332	535.897
199.6	738.257	792.936	755.749	691.536	608.123	533.233
199.5	704.021	753.368	702.267	673.731	654.463	563.701
199.4	752.632	770.549	723.023	671.419	655.067	532.293
199.3	774.784	699.567	828.517	589.148	662.119	518.724
199.2	747.668	812.629	778.981	667.828	610.009	474.593
199.1	744.483	800.94	782.397	672.747	673.143	526.465
199	769.315	782.324	746.629	631.055	649.409	563.377
198.9	728.328	802.203	761.067	664.144	666.485	477.92
198.8	699.691	764.915	678.596	641.717	631.233	538.021
198.7	762.833	723.855	655.284	698.204	611.263	480.247
198.6	759.855	829.103	737.581	683.763	647.864	525.276
198.5	749.924	821.904	778.256	681.564	636.26	490.087
198.4	680.564	749.411	738.067	670.099	615.021	536.08
198.3	739.965	782.044	722.707	627.217	642.429	570.053
198.2	755.712	794.14	710.913	611.377	600.024	574.44
198.1	753.459	719.985	716.593	584.591	604	543.487
198	758.761	749.216	751.783	627.676	612.816	568.451
197.9	760.78	739.699	734.884	576.661	603.084	497.708
197.8	789.351	742.123	761.419	663.869	624.307	521.091
197.7	714.233	779.549	749.161	611.072	633.215	508.036
197.6	780.441	724.059	755.731	657.384	610.819	501.515
197.5	682.979	800.712	775.36	662.609	607.008	549.036
197.4	802.532	738.237	773.729	600.443	633.875	560.195
197.3	742.076	798.197	667.125	658.701	608.297	519.283
197.2	772.379	736.661	765.237	613.521	640.881	549.419
197.1	708.396	813.715	754.289	644.316	623.812	539.305
197	782.409	810.269	712.564	618.171	606.072	526.576
